,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
PE O-40:9 (18:3/22:6),14235,17651,9610,21867,20732,45184,14744,23974,21438,18242,12984,11151,17953,13644,8122,23640,13971,11929,23323,52669,15202,10307,22340,11189,16464,16524,13028,11031,12458,15071,14154,16112,15583,17762,8792,20118,28821,11959,13429,26336,20627,20986,27511,21851,14629,6688,15551,21887,10614,8885,11742,14120,11315,20954,19536,15013,13029,26486,21682,15548,18434,11127,14573,18832,20217,19074,26039,14438,22176,15629,11432,11637,19835,19362,13021,22233,14141,15223,12304,19570,14621,13556,19443,24937,16458,12460,21308,19161,26486,16191,6690,21850,33761,23094,12336,22603,32401,20240,17055,15309,24582,14876,13014,26991,18391,12479,18168,22870,21435,14709,31661,23021,20349,31494,30051,23487,25402,10135,10977,24630,27629,11486,7921,21848,20228,22702,17718,24168,9369,12876,15663,12687,11624,57585,13473,22811,16720,14150,24507,31217,21223,24709,11832,11422,11812,19036,19003,42024,56367,11738,19633,23748,23154,27084,12287,18322,8967,20093,14569,24944,12094,20426,13478,12965,23638,13727,14294,15157,19662,23922,23564,43620,18751,21044,17368,21092,20092,17882,7960,22050,20432,19234,22570,21841,29478,18480,24052,34449,16814,15663,20377,26173,24601,24805,28965,24747,37876,55252,14593,21143,17059,23842,19169,24202,16399,21065,12932,51066,28982,15751,32864,27375,22842,17975,11321,16564,19200,24442,12303,17516,32489,19002,17807,23164,28339,17172,17835,17303,14966,14669,13505,9563,11836,34819,15623,10063,20279,30799,31377,17667,32934,36640,18170,17163,83593,20797,27993,10573,6565,14542,20618,31116,17068,13663,17630,13678,15381,24040,20556,29732,22030,22089,35867,10955,19621,17274,9770
PE O-40:8 (18:2/22:6),25067,41421,24054,39119,39012,74664,24417,42014,49693,34296,23212,24733,43283,28703,15874,51976,26714,29101,44041,55539,33428,22394,38868,23043,33412,26416,23468,22292,29503,24722,25997,34161,32762,40257,21431,44524,29146,26644,32312,41306,32656,40641,45315,40567,30005,14486,29936,41468,23651,39175,23589,29144,27703,33164,46921,31514,22465,38026,49448,30319,34422,21888,30473,38508,44109,39330,47081,29665,33694,28075,22542,22109,42534,51241,27792,44261,34724,18344,28417,36043,30502,23870,35879,35817,28351,22350,48173,51034,41836,28249,14618,41691,44281,58522,28307,41356,40544,54787,24913,38014,66177,30077,32117,57806,35638,42061,56399,61361,32986,32298,46899,47663,44611,54323,55052,40022,44135,23667,21962,42334,52161,21265,22329,42286,39035,42617,31753,46470,16534,32455,30681,29583,24810,90322,33681,54316,39052,49134,52089,61300,50456,42982,26675,44658,20536,37654,48621,104711,66612,23713,39508,63353,42496,50205,24659,43823,25051,32648,32547,42570,21188,38080,32884,27810,51850,36648,34617,28157,40515,53458,40560,76547,52992,43369,36577,35997,39826,40930,28566,43383,39815,38507,39482,34333,47445,28936,28223,65220,34974,31270,46179,51299,45609,48567,60918,43972,49903,100726,37119,47883,39661,50262,41464,43313,32813,32520,24439,69286,41018,33172,43620,46792,36531,35290,26673,36218,34819,53194,34447,34713,66173,52665,39614,44480,48343,37785,32341,45465,34351,29285,30811,15073,38145,58492,46424,34730,34487,51138,45424,44688,54404,57916,49157,37318,106494,45971,39120,22236,21356,41435,46045,53078,37516,30836,40668,25141,26797,56657,35031,46002,44719,55522,52719,32174,40654,35269,16959
PC O-35:3 (i),70045,53212,23430,56829,43822,120424,67389,44427,82590,31348,30241,45141,149441,16825,57393,77807,22780,36274,55617,107257,64171,56403,127296,42435,24846,28535,26769,49932,122500,20163,9616,21705,45453,20789,33573,15111,17381,25900,99616,40988,33164,18358,75502,38484,30167,12912,15993,28304,21110,129677,40642,61335,30798,60757,27452,31029,16181,35472,39295,55637,39471,17055,94435,165235,40934,27505,48461,26255,44838,37397,5848,39350,26258,103878,62660,48777,52269,30849,57106,19981,33417,26309,23649,19330,25012,9901,50720,43559,39752,22572,16387,95151,53803,68217,52142,85642,39168,78678,24375,68116,104790,86426,43374,238697,73993,14681,29220,78491,21030,23902,37787,107837,30497,67667,64248,96660,101464,35361,20610,75672,48270,16656,21458,68740,35654,19245,19666,132711,13903,99444,63959,84769,97221,51403,80312,107275,70763,79929,15430,81477,24659,76671,46199,51779,26289,76673,152815,109506,62099,23076,42342,112061,101425,67306,20114,18685,18950,156282,45655,42995,32593,80202,59621,35979,163634,75556,110131,40705,47438,62256,44777,57666,23099,62829,56970,46142,50790,68204,27295,84337,58976,50785,22402,111187,25895,19461,24629,105955,64166,100043,91778,33368,55247,106484,107737,138692,62100,42576,86247,69336,81206,57944,106007,121412,27811,44803,25461,75621,26806,27111,74848,37807,40533,22127,43386,84838,27604,85035,38166,49358,103238,22164,38911,42886,61508,56449,40600,99099,66636,68897,12414,50710,33243,105487,95119,65410,57510,48257,29435,92791,84137,60259,74061,67431,35288,243099,41263,31303,27978,89159,27363,52661,16545,70865,37564,36969,16093,49191,15129,36113,63040,121425,35982,93902,16622,37783,15551
PC O-35:3 (ii),59870,59703,29366,59211,55926,89677,44721,29893,63872,49215,37548,52632,80883,32598,58021,65584,12501,50348,44853,62839,64166,44141,61418,38869,14799,16519,27667,33880,66809,29040,17495,34822,43866,50610,49435,37142,13276,29212,62346,34720,37265,50961,76293,30479,41721,14223,49862,53271,40640,88169,51265,56626,47092,62415,58505,12223,19100,35738,49255,44862,49144,12634,54547,97377,40200,44946,43313,31626,49972,41928,4956,34393,37509,83881,63687,66553,45582,27040,42688,36875,44601,30328,32412,39499,23470,28439,74099,41673,61627,48464,47964,81851,50896,69864,57331,75515,60193,72446,35467,63838,95485,75813,54631,148884,65443,12169,50769,79169,8843,41951,64828,73924,59807,73896,75206,83938,74204,49481,38103,67489,58441,38853,42680,84950,59970,45343,40130,78287,17696,66845,63154,58867,71670,73419,61321,77823,50867,55364,28402,90964,47933,78462,49626,64554,39338,65662,101994,76660,45937,33076,37509,94343,87666,67744,9478,63140,37034,91520,46078,46929,42233,65845,62248,38663,98097,63351,72767,47409,63820,60929,65106,27440,45769,58517,72660,45720,58468,74376,46324,59206,46202,55283,38188,65252,40271,22415,44126,97158,74528,76089,85356,43517,71188,79232,125822,84693,71617,62936,51896,56843,70297,83922,79641,99867,37323,42342,60010,67425,22042,60141,78969,37177,49970,13329,60373,58952,44242,72209,63894,40269,91590,36935,58076,81466,50370,34233,43419,55773,65195,52047,17235,29577,37676,84835,77407,76258,64863,68469,51998,63018,91113,44955,74937,80894,30644,117687,51961,43248,40329,66471,17889,67823,30422,59329,58637,39767,37365,53061,49408,35974,58598,82622,50583,60966,34674,48245,40927
PC O-40:7 (18:1/22:6),101103,110336,110543,162219,123075,253764,56105,89304,207540,56264,54745,99608,208120,94878,63287,197366,48778,121532,110694,143852,117829,84060,123518,59827,77692,84533,71223,61890,133818,52911,63879,86912,118542,109533,47375,105356,52224,51090,133272,65821,68253,146076,140173,64473,81186,38983,103804,68760,77504,240718,62708,92334,70911,99795,153887,47305,51039,93759,120506,98234,101053,33848,122635,111109,131344,89273,90739,76862,111363,110057,35332,81417,95897,258945,131070,136327,108363,55124,108070,77444,67087,49095,92440,79704,30397,47616,239005,228182,148234,95686,148134,152528,148222,156229,108649,209311,106714,111426,68280,100057,209175,121256,79461,238389,116029,115650,204161,184104,76509,123457,176227,119379,149908,189123,187837,138312,244928,83301,64783,91666,161494,41400,74010,139398,135422,96393,55031,209374,40044,133399,103017,133524,120371,220427,111613,189326,102677,136734,135459,211541,137247,148889,104649,139049,79606,123926,220891,222771,150150,79193,80114,212132,181770,127353,39154,175796,79493,86731,93933,89854,96669,104885,115916,106447,200090,102260,164132,50200,138733,139463,95263,57879,180700,98743,103988,121328,131456,148882,84335,102240,75998,89421,79887,120083,50880,51831,51586,296315,145357,144066,202492,94747,108656,209691,233121,131850,99405,135191,96008,128651,103054,166733,150639,109242,55704,76116,87348,219588,33474,94658,140811,88753,72708,39824,118743,115482,107339,137080,99802,77750,113854,107013,118336,141430,100116,73368,117051,133463,83199,76623,52255,35317,113196,238558,154195,141359,112389,111990,68473,187396,220839,120220,181522,137787,108960,222653,103840,114161,99867,161159,157080,185299,36638,102831,79783,53242,66242,111770,115769,79145,79750,176285,70826,109044,122325,77528,57570
PC O-40:8 (ii),87259,95114,105148,178291,138272,166907,49140,61954,196828,59404,55530,94900,165286,85375,60594,185810,63777,119512,117125,146727,123935,79424,128095,78748,91486,71158,61455,59996,170574,65160,63088,90581,118651,86565,39069,150223,61101,59661,103960,81328,59726,91649,106755,60883,85728,40092,82960,82800,52895,163805,60641,99453,106427,69548,112389,61812,55116,91638,83231,96021,108839,23503,105615,86233,78294,87256,99916,81672,111123,105506,33726,66902,72009,158330,93560,94147,101190,59067,134612,75779,59278,43027,93704,89663,36316,47040,193805,244928,155311,152384,165506,139052,155808,182939,90065,266065,123448,129252,79767,105603,193494,92909,80274,221694,141841,169829,341161,166379,95134,129658,186230,139669,199799,168577,201247,134867,225282,113053,64868,125304,207768,60494,67255,148486,148947,100102,103865,182310,41688,112342,97852,105554,111661,228035,107805,161708,103935,113079,155291,217515,174811,133794,113204,119303,74859,129566,213116,355783,134920,58456,79626,176948,164651,137002,23946,189744,99582,58142,102447,126341,77363,97467,86826,93260,202564,104424,153788,41444,121735,103634,101002,79217,152287,106148,101362,105915,132933,140046,92045,101090,91894,91457,88404,103368,80083,82992,63607,265795,112097,153056,192684,86835,89456,215920,179653,100645,123284,131068,99285,108692,105296,141781,167961,99632,47516,63189,79306,237241,39407,104893,199540,85599,82931,59223,108511,129447,115091,135203,74375,71349,154587,141705,165409,235931,125152,73758,114610,124741,112650,64820,49614,39999,204658,163117,94348,102636,135555,86646,65556,200324,260349,121583,181815,138491,117960,174070,115287,118694,114454,115148,99355,177337,39870,89192,81504,49538,53752,125059,86121,69187,75248,172255,98490,89125,135477,63834,48389
PC O-38:7 (16:1/22:6),14594,18783,14760,16952,18802,29366,12945,16097,26399,14564,9127,10455,23673,10434,8475,17805,9757,13416,16940,20284,15781,13050,18787,13453,12318,10713,8691,10452,15958,18121,19725,20697,22371,21655,9785,13282,11192,10600,14137,15169,11285,25272,24704,22096,15239,8324,12492,14997,13292,22854,10031,15129,14136,15565,14318,17454,9387,17296,17127,11200,18540,9840,14212,18052,15660,17590,16719,14045,13087,18065,7789,12602,14559,25726,15567,9218,16070,6035,12161,12326,11539,10537,14764,14566,10667,10280,22279,23433,13773,12592,13991,18072,20655,30745,12566,26963,14180,15486,13532,23161,22614,14790,15174,26385,14958,23183,30925,29282,15252,15259,19659,17908,16335,20460,22315,16638,18577,12919,9428,14075,20014,8314,8300,19234,17670,13968,13663,22369,5772,16352,16005,16035,13109,34165,12872,20946,18831,20105,22370,20157,19119,17057,16089,18253,8620,12496,22167,39715,26518,14411,23115,30005,33934,22746,12839,21276,12073,17054,12434,18646,13636,16206,15680,10944,21608,14065,18991,10999,16989,22649,15124,29251,26300,17569,20500,22066,19676,14349,10837,21524,19333,18312,19275,18897,16036,13222,10604,38335,20570,14757,22622,16467,19818,24295,31653,24134,20211,29979,16880,18231,17982,18769,19678,19844,11322,11831,12616,27120,14048,13388,16659,17356,22773,8726,15870,14549,17794,21215,18218,17862,24759,14247,17498,26942,29087,16345,13367,20338,15827,11085,12211,7083,20666,31059,19869,18223,15576,20496,15470,22717,26868,15672,23077,15158,27338,20287,10491,11139,10577,19081,13637,21822,8917,13405,17159,10211,11390,21388,14892,14238,19369,18170,18921,12903,18663,18046,8880
PC O-38:5 (18:1/20:4) (ii),29201,56660,33158,38534,40091,69086,29592,34535,46833,40729,26883,24503,42843,30137,20922,38778,21986,32914,32687,42883,26760,26958,26135,26458,26171,21879,19376,25878,35850,28163,43493,53233,33827,54173,44810,29709,21176,21338,30263,31838,28810,83618,53805,41875,17766,25447,33823,41022,35138,53653,35482,30312,39896,51081,36728,35169,13805,31704,44944,23316,38199,26489,35738,46808,37347,40405,31707,25282,24447,26007,17169,26834,34393,52501,41791,50364,42718,6882,17835,31796,30133,17851,30148,33869,26153,25431,50695,45010,23990,29385,28346,51624,37206,92185,55904,37631,30010,44435,28975,58331,54097,40548,33192,86931,32007,62754,65617,75962,30698,29581,49953,46557,33242,47078,43461,49128,32634,26845,25400,44169,35861,24042,32217,54636,30813,34468,15677,39321,11482,47404,39868,34284,30528,46167,36291,44351,39731,52515,42549,41737,40447,50596,39141,48230,27455,25932,44521,60073,50327,63956,55188,93979,65099,53863,45107,63048,27123,58576,28159,29174,41384,53465,37708,26412,40894,31834,39829,26736,36023,32858,42322,88524,43112,39149,64420,41038,32428,40507,27025,58700,40686,53653,46088,37580,27245,24676,29224,80039,53210,37961,62746,30078,66335,53697,81331,52488,36248,86570,38621,39511,52683,51241,39899,37750,23007,28350,41860,41132,33444,38000,24949,42027,38562,25817,35559,37030,34473,66158,58118,40322,65229,33756,35299,57019,43072,45715,28816,46296,38685,29971,26260,21006,45295,60085,61155,43861,38335,51438,42390,38664,41761,30016,40269,39078,45058,56945,18036,21615,29690,40992,36879,44151,28965,36469,49498,24135,33973,39156,23758,22797,53669,26418,29869,37286,33059,45060,21406
PC O-37:5,116779,168536,82504,114741,90882,183777,89537,96339,119225,99993,80972,74994,162896,76863,71791,102717,62766,80608,101831,174688,92501,72153,92261,66572,67422,55645,52797,67882,129547,49717,75818,89948,92540,121094,84034,61626,47115,62321,80392,88911,92295,148743,148654,90663,78785,39563,89758,95762,78680,136049,93908,87234,111232,140215,101950,76544,64781,107822,107528,70567,114684,71203,78864,160861,100082,109698,71007,76131,80122,70643,43509,84865,118059,171667,127679,124783,111466,28189,62065,83635,104285,66136,91836,93679,67277,74627,154954,113413,75195,76829,71000,167988,98168,154152,147923,122931,97793,122574,66289,145977,149880,158300,86367,240073,83596,99256,115702,203001,66462,84650,107053,145185,86934,144551,119232,182864,92367,60478,57677,130087,97339,62874,74416,150868,95434,97524,66199,140658,31602,151537,118383,111908,95339,126303,111878,127459,104492,144646,96712,130676,95011,148204,82502,102831,60794,80823,170397,192215,122665,84309,102453,171640,111704,150895,77126,122286,55056,182831,82377,79787,92990,144358,109753,75334,144867,97560,119823,115165,89553,108128,134886,138338,80739,93845,145566,92824,90009,119398,60040,115749,84810,128620,91372,122863,60725,52933,64578,211029,124619,93439,218879,85553,149312,150150,224176,187456,118399,251955,91941,124207,135524,144001,104500,187342,68405,89056,98695,117545,68302,122124,92160,87107,83464,39764,89806,107146,60555,123287,116715,91444,165194,86153,60647,122052,97810,109782,71814,114185,118734,79115,39484,65271,93188,180119,176560,130407,83198,173104,121493,142477,138022,108031,123352,118174,127306,236024,53070,65044,58117,126332,116425,126790,92980,126846,150070,82336,84339,127902,69639,101820,160535,110560,81192,146887,84031,162433,60473
PC O-37:5 (17:1/20:4),164024,289841,94041,134768,84707,260596,146742,170755,203498,112559,110177,81525,384347,66680,95509,160177,73511,121473,176034,395411,124255,114558,150952,100280,75126,52177,68569,128965,265115,42069,92809,74612,133822,88031,129421,62704,37131,81024,132156,150405,112215,239151,194952,148414,119072,39792,38154,135244,84274,234242,115642,123656,148543,181955,62576,84716,51112,149868,142544,82450,164204,103177,168092,291629,152090,108137,95948,77157,73603,93071,41733,120613,138239,315231,183900,194569,161767,29052,109797,88715,140936,83680,84357,57447,119152,74960,208697,134234,49816,59861,66350,239172,139555,317683,216050,193896,125893,187206,78756,255071,272232,237103,96103,436823,124468,81210,153562,354114,85384,78366,112421,279100,58931,212084,149397,343023,147509,75128,50255,278637,113091,54427,59222,194514,78245,89665,75432,334413,20626,387405,235227,229201,140653,151808,197448,180720,252839,239397,110497,159327,92518,225044,158264,182973,37767,110727,359807,589220,204167,85423,150670,295256,167181,254178,111943,77595,47527,339280,113908,117713,114847,197801,197998,89240,290767,144089,261095,174690,98148,166531,142657,350091,56895,100973,171757,99970,109447,148534,51224,257488,134222,211886,95456,239870,67597,50317,61716,401740,238810,148471,394746,167173,177214,241126,288896,457901,150950,370884,210642,255886,239956,160938,157844,262968,88838,127229,84500,193917,108238,127110,108619,101327,139519,44372,90100,180271,52785,195997,180554,151253,195845,82552,57900,154192,205938,191395,86618,322507,152399,128787,29193,153900,82668,412524,361334,248670,66263,215310,137832,285980,172471,206378,215039,138729,240436,610907,47425,74036,72320,188765,87903,167716,68660,216756,143318,120464,74762,266508,49407,156263,293685,169461,77599,302738,79989,399338,46899
PC O-35:4 (i),55277,62422,21698,47017,65582,88256,32498,58660,45901,61462,40274,43617,93643,29185,40197,37033,35753,38573,45217,82577,60021,42244,34354,27461,30757,17093,33402,26017,55427,23670,42458,37026,53586,28756,22948,50077,14671,23815,31231,39984,52322,65505,61586,43141,34964,6203,38719,49185,29888,54536,35763,35735,45888,51248,57528,19988,22469,63833,47519,35169,43045,32183,38150,74158,54912,26883,41666,30356,38129,25571,16917,45956,63258,80983,36984,53932,31734,8404,29703,51924,37030,40684,28599,44256,19387,38149,75384,35131,48821,14493,11394,99371,32214,95630,66524,63612,46378,61501,39257,73139,84409,118480,31976,135973,49681,36919,46726,139782,37441,60111,36364,64146,61678,59022,82104,147166,33968,16806,18701,59188,39874,14062,58730,109825,57334,43546,38620,76591,10919,102548,66191,80289,116653,94060,52961,63438,37186,79351,53653,140479,57943,62995,42130,33043,18188,53798,167475,164239,59025,21885,60029,85461,67676,90417,18585,19209,21221,52995,42214,50350,27202,50982,52175,35461,46172,56760,67124,91702,19028,55145,61941,176167,39643,46456,31238,47670,21839,112113,49709,67235,27651,64086,42928,57185,18483,14862,16486,101867,117601,27021,212397,67893,66423,74558,201800,94623,155115,243671,30234,94523,51904,49990,67697,72022,64567,41924,24532,65636,18248,54162,93263,60821,46086,7357,66747,83973,31028,61312,52380,40081,102588,83081,14535,65218,31778,34163,19836,36379,38923,43326,16421,43174,22814,127593,51666,40314,27096,104418,76015,107312,69315,92562,35730,18831,120428,118882,24887,17123,16256,50547,62239,85931,22617,96827,69517,48174,18202,71992,30947,63693,99164,49558,56594,69458,30792,98418,24908
PC O-35:4 (ii),34283,19186,6399,33862,24606,72346,20262,36713,27531,16342,13778,16372,96038,8093,10063,12686,9238,14288,28996,48890,18876,18444,20436,8430,12930,2346,13184,14920,22219,12413,27892,16124,19343,6979,7927,64981,8078,9555,12490,25755,30264,44048,21184,28853,11603,2935,9829,14975,11931,20184,5189,12551,12292,30684,16592,7272,8651,35963,18096,17492,20773,22522,12839,38905,32084,13017,35489,14013,21675,19897,4150,28990,19101,62321,13625,17285,10638,3514,10728,29940,13815,23459,4608,14084,14757,7556,44875,28821,20922,9747,4972,68529,27430,50822,30124,43796,88786,23152,19305,28370,38258,151622,12261,58918,72972,14908,35833,149639,12652,19637,22349,37681,26368,42280,40984,69303,12774,7054,1812,36517,21774,3313,14849,73403,85743,31643,20231,81534,1423,68068,59170,140961,161411,46199,25889,40973,23453,58949,22552,77143,23607,26686,34370,26898,2974,30644,362453,281563,35667,7647,35986,46434,47959,38993,17447,6504,7851,33936,28702,29340,10741,25778,31155,15478,21555,52719,71370,41865,6305,36641,20615,248714,19265,25123,10944,14581,14559,81090,37262,29772,8056,35240,10897,43939,8557,9221,8718,100538,147143,12262,376876,31720,84371,41509,323390,58439,56971,99975,15068,71248,25866,24115,33858,42020,78466,13199,7636,44872,15430,24418,82169,32692,28272,1925,86520,106723,12922,33560,56609,27300,46042,118263,6223,35084,36333,23418,9061,27645,18450,24820,7875,14672,11910,257610,27522,35619,29827,56691,37141,157540,40082,60646,19626,11340,98801,77351,21195,9148,6957,26205,73755,76205,12898,40610,19396,22173,6243,41790,14173,32150,63161,18325,56626,62544,21243,85058,10226
PC O-36:5 (ii),47752,43070,14551,48734,75692,79038,22629,51756,23807,73219,31290,38607,76962,24162,20882,20214,39588,31106,50597,70555,55625,9928,24765,14422,25197,11562,27421,24250,26916,27822,48860,34618,45571,26211,13704,39335,19687,15197,21369,39958,50350,60968,41243,36406,27443,10573,34924,39583,27948,37454,28051,25914,43632,42608,56256,16143,20538,63005,54102,30405,39672,27711,20358,49780,43167,21586,46579,20324,31366,21873,8900,46651,56457,64659,24969,55286,21989,8471,19594,49144,25604,35082,17898,48362,24452,26762,87591,33351,52578,34922,8679,89647,42738,95856,45809,47342,60469,58879,37560,56629,74673,147214,32590,86876,72637,38443,48039,153801,116879,46942,34572,56620,46592,70199,72544,157827,41594,14371,7877,52523,37906,8136,52889,149974,80379,39064,42316,82793,13033,97891,63410,156514,143602,61460,42134,57839,37239,65841,49879,206760,42714,62372,82181,29118,21556,53342,233096,249345,147640,19877,59532,76729,62514,65216,15759,17041,14798,2479,42340,36419,19294,46114,37360,25122,36224,57494,68831,57537,12645,72513,49820,331833,34352,47698,24109,31690,19872,120522,58648,44125,23509,91492,29315,58959,15939,15652,25248,106891,127083,18754,211879,52560,125288,54153,247941,66576,123520,200439,18936,88799,54218,52083,58066,47668,100952,27988,20066,109186,20350,33757,101385,63747,50985,5492,76979,105933,44679,57337,71252,41447,84192,133310,15640,64013,33514,35284,15285,37022,25966,25775,8915,22790,20701,231850,42560,34537,30669,126023,97770,129379,70295,121261,21301,13916,334148,91644,26683,16366,11957,33612,77924,108364,28815,52681,47513,41130,12082,82155,24785,68660,90427,24009,96511,58297,27425,104390,16943
PC O-34:3 (i),62708,33499,19185,62470,71309,96144,44270,46781,54680,46542,34066,42777,83959,25535,44036,48697,38056,32819,43944,46029,71965,40069,65869,36266,30228,29145,36117,33790,51095,47088,39313,47122,45923,35569,21116,54624,32996,34743,44482,58250,54159,40740,62940,34132,31157,15082,34767,38492,33708,52685,41779,45926,33302,40245,49096,35816,34241,55618,50627,65327,42052,30811,38929,75510,34654,24660,69875,41466,53140,44149,18304,45938,38261,51914,34768,49258,36638,34086,41775,45640,33662,31590,45635,37022,34115,23664,73370,35261,82443,31956,17529,82589,39114,68132,41697,80852,71322,51032,33553,64923,71600,131347,40132,165831,94865,34723,49856,171629,61969,35976,36040,65982,59048,55234,81335,94043,72497,29464,25405,55969,50375,19011,39965,128935,92034,33632,35413,86720,29137,56791,58752,118619,154296,94559,41883,91523,34147,68081,32833,211203,34970,51880,70643,41977,39630,58839,280825,138092,102487,21244,42660,64157,115681,52783,20178,34126,37800,47869,47484,37496,22697,50398,37442,30591,65592,83105,94876,47031,24402,78554,46697,240645,52430,51016,32836,34730,35694,85224,62995,59696,34823,52480,27490,70213,32503,28062,33186,63919,83707,48993,104049,33884,112995,69188,221448,63737,138981,78494,44461,60151,62279,73621,79716,71521,63338,38204,22366,88168,30496,37260,184168,68676,45170,19162,107448,102561,42662,54552,40994,32412,129503,89441,33585,52738,41905,35639,35542,44595,47224,50130,18845,33733,50263,191270,50204,38470,85342,50401,55392,152708,83346,67689,38108,37569,131055,104679,64332,22156,17347,48480,86102,87635,13606,57812,42474,31840,21534,57246,32937,46689,60650,64952,75733,62616,23095,33125,21520
